股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.4,11.27,11.2,11.4,11.19,1183578.0,1338930000.0,2212.27,2212.25,5.09,0.47,0.61,74300300,44057500.0,2026-08-20,16:14:51
000002,万  科Ａ,3.14,3.07,3.07,3.2,3.06,1423714.0,445540000.0,374.62,305.11,-0.42,0.34,1.47,89159800,53211600.0,2026-08-20,16:14:51
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-08-20,09:00:00
000006,深振业Ａ,7.14,6.91,7.02,7.32,6.93,233571.0,166100000.0,96.39,96.39,-1096.08,1.8,1.73,12931900,10425200.0,2026-08-20,16:14:51
000007,全新好,12.09,10.99,11.16,12.09,10.93,181150.0,214510000.0,41.89,41.89,-2077.82,23.39,5.23,7991500,10123500.0,2026-08-20,16:14:51
000008,神州高铁,2.42,2.38,2.39,2.43,2.38,313529.0,75660000.0,65.74,65.73,-7.99,3.05,1.15,18275000,13077900.0,2026-08-20,16:14:54
000009,中国宝安,7.5,7.41,7.47,7.65,7.41,219900.0,165280000.0,193.44,193.2,372.53,1.93,0.85,10839400,11150600.0,2026-08-20,16:14:54
000010,*ST美丽,1.48,1.44,1.45,1.5,1.44,192122.0,28090000.0,17.01,13.58,-1002.11,5.78,2.09,8763400,10448800.0,2026-08-20,16:14:51
000011,深物业A,8.21,8.04,8.18,8.4,7.97,101589.0,83180000.0,48.93,43.22,2976.0,1.46,1.93,5292600,4866300.0,2026-08-20,16:14:57
000012,南  玻Ａ,3.75,3.73,3.74,3.78,3.72,193060.0,72350000.0,114.09,73.47,1022.76,0.88,0.99,8676200,10629800.0,2026-08-20,16:14:54
000014,沙河股份,10.13,9.85,9.93,10.27,9.76,53252.0,53620000.0,24.52,24.52,-16.1,1.78,2.2,3042700,2282600.0,2026-08-20,16:14:54
000016,*ST康佳A,2.31,2.27,2.26,2.33,2.26,119658.0,27480000.0,55.62,36.88,-0.43,-0.49,0.75,7294400,4671400.0,2026-08-20,16:15:00
000017,深中华A,6.46,5.87,5.91,6.46,5.91,104706.0,66500000.0,44.52,28.48,107.7,11.41,2.38,3389500,7081100.0,2026-08-20,16:14:54
000019,深粮控股,6.86,6.77,6.71,6.98,6.43,472402.0,315530000.0,79.06,28.55,36.46,1.61,11.35,24340700,22899600.0,2026-08-20,16:14:57
000020,深华发Ａ,12.37,13.74,12.5,12.78,12.37,148402.0,184130000.0,35.03,22.41,118.71,7.83,8.19,10316900,4523300.0,2026-08-20,16:14:57
000021,深科技,37.53,37.44,38.03,38.48,37.09,771325.0,2909160000.0,590.86,590.78,49.28,4.54,4.9,36554800,40577600.0,2026-08-20,16:14:57
000025,特  力Ａ,15.48,15.69,15.68,15.85,15.1,172548.0,265850000.0,66.73,60.8,47.02,3.68,4.39,6686900,10567900.0,2026-08-20,16:14:03
000026,飞亚达,21.16,21.05,21.98,22.0,20.98,102087.0,218120000.0,85.86,77.14,80.18,2.56,2.8,5055200,5153500.0,2026-08-20,16:15:00
000027,深圳能源,6.14,6.11,6.11,6.16,6.11,135798.0,83330000.0,292.1,292.1,14.6,0.89,0.29,7066400,6513400.0,2026-08-20,16:15:00
000028,国药一致,19.84,19.94,20.0,20.25,19.81,46149.0,92320000.0,121.46,104.33,11.29,0.64,0.88,1673700,2941200.0,2026-08-20,16:14:06
000029,深深房Ａ,22.3,22.6,22.49,22.81,22.27,48528.0,109260000.0,225.6,198.84,955.61,6.31,0.54,2308500,2544300.0,2026-08-20,16:14:57
000030,富奥股份,4.33,4.27,4.29,4.34,4.27,76168.0,32910000.0,74.47,72.35,11.21,0.9,0.46,4005900,3610900.0,2026-08-20,16:15:00
000031,大悦城,2.21,2.12,2.13,2.23,2.12,508390.0,110880000.0,94.73,94.73,-4.09,0.93,1.19,34483400,16355600.0,2026-08-20,16:14:03
000032,深桑达Ａ,14.44,14.3,14.59,14.62,14.18,318168.0,457870000.0,175.47,175.47,-100.03,2.39,2.62,15041900,16774800.0,2026-08-20,16:14:06
000034,神州数码,23.82,23.81,24.03,24.08,23.64,199415.0,475490000.0,242.19,202.27,44.71,2.17,2.35,8505100,11436400.0,2026-08-20,16:15:00
000035,中国天楹,4.57,4.54,4.61,4.66,4.56,233754.0,107480000.0,109.13,105.71,37.7,1.02,1.01,10314300,13061000.0,2026-08-20,16:14:03
000036,华联控股,3.99,3.9,3.93,4.05,3.9,250236.0,99560000.0,56.01,55.98,61.93,1.09,1.78,13724600,11299000.0,2026-08-20,16:14:03
000037,深南电A,9.36,9.56,9.52,9.61,9.3,138810.0,130820000.0,56.42,31.72,30.44,3.38,4.1,6031900,7849100.0,2026-08-20,16:14:06
000039,中集集团,9.2,9.31,9.44,9.52,9.12,322319.0,300250000.0,496.11,211.73,-435.12,1.07,1.4,13559600,18672200.0,2026-08-20,16:14:09
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-08-20,09:00:00
000042,中洲控股,9.05,8.82,8.9,9.14,8.88,73731.0,66430000.0,60.17,60.1,-5.43,2.65,1.11,3981400,3391700.0,2026-08-20,16:14:03
000045,深纺织Ａ,10.24,10.04,10.1,10.25,10.04,59843.0,60940000.0,51.87,46.8,74.35,1.74,1.31,3200300,2784000.0,2026-08-20,16:14:06
000048,京基智农,22.43,22.45,22.63,23.0,22.12,120720.0,271290000.0,118.92,118.72,-62.49,3.17,2.28,6516600,5555400.0,2026-08-20,16:14:06
